FECHA,DATO
220530;0100;;1,22;;
220530;0200;;0,8;;
220530;0300;;0,72;;
220530;0400;;0,96;;
220530;0500;;0,9;;
220530;0600;;0,99;;
220530;0700;;1,64;;
220530;0800;;1,97;;
220530;0900;;0,82;;
220530;1000;;0,62;;
220530;1100;;0,71;;
220530;1200;;0,36;;
220530;1300;;;;,
220530;1400;;;;,
220530;1500;;;;,
220530;1600;;;;,
220530;1700;;;;,
220530;1800;;2,15;;
220530;1900;;2,18;;
220530;2000;;3,84;;
220530;2100;;5;;,
220530;2200;;4,6;;
220530;2300;;5,95;;
220531;0000;;3,73;;
220531;0100;;2,91;;
220531;0200;;1,89;;
220531;0300;;1,27;;
220531;0400;;1,11;;
220531;0500;;1,37;;
220531;0600;;0,88;;
220531;0700;;1,14;;
220531;0800;;1,24;;
220531;0900;;1,17;;
220531;1000;;1,15;;
220531;1100;;1,15;;
220531;1200;;0,72;;
220531;1300;;0,9;;
220531;1400;;1,02;;
220531;1500;;1,1;;
220531;1600;;1,34;;
220531;1700;;1,63;;
220531;1800;;1,86;;
220531;1900;;1,82;;
220531;2000;;1,84;;
220531;2100;;2,08;;
220531;2200;;2,02;;
220531;2300;;2,32;;
220601;0000;;2,22;;
220601;0100;;2,05;;
220601;0200;;2,33;;
220601;0300;;2,55;;
220601;0400;;2,71;;
220601;0500;;1,88;;
220601;0600;;2,51;;
220601;0700;;2,73;;
220601;0800;;4,54;;
220601;0900;;3,52;;
220601;1000;;2,67;;
220601;1100;;1,79;;
220601;1200;;1,19;;
220601;1300;;0,94;;
220601;1400;;;;,
220601;1500;;0,95;;
220601;1600;;1,06;;
220601;1700;;2,5;;
220601;1800;;5,97;;
220601;1900;;4,22;;
220601;2000;;6,4;;
220601;2100;;4,77;;
220601;2200;;3,79;;
220601;2300;;3,67;;
220602;0000;;7,11;;
220602;0100;;5,31;;
220602;0200;;2,72;;
220602;0300;;5,66;;
220602;0400;;4,3;;
220602;0500;;3,33;;
220602;0600;;1,66;;
220602;0700;;1,59;;
220602;0800;;2,62;;
220602;0900;;2,83;;
220602;1000;;2,83;;
220602;1100;;1,39;;
220602;1200;;1,82;;
220602;1300;;1,65;;
220602;1400;;1,56;;
220602;1500;;1,75;;
220602;1600;;2,46;;
220602;1700;;3,37;;
220602;1800;;3,07;;
220602;1900;;4;;,
220602;2000;;3,47;;
220602;2100;;4,26;;
220602;2200;;3,06;;
220602;2300;;5,57;;
220603;0000;;4,47;;
220603;0100;;3,03;;
220603;0200;;1,71;;
220603;0300;;1,17;;
220603;0400;;0,95;;
220603;0500;;1,97;;
220603;0600;;2,89;;
220603;0700;;2,55;;
220603;0800;;5,26;;
220603;0900;;6,22;;
220603;1000;;3,5;;
220603;1100;;1,58;;
220603;1200;;0,9;;
220603;1300;;0,81;;
220603;1400;;1,04;;
220603;1500;;0,93;;
220603;1600;;1,35;;
220603;1700;;1,64;;
220603;1800;;2,13;;
220603;1900;;2,01;;
220603;2000;;2,39;;
220603;2100;;2,01;;
220603;2200;;4,47;;
220603;2300;;3,29;;
220604;0000;;0,89;;
220604;0100;;0,95;;
220604;0200;;0,63;;
220604;0300;;1,14;;
220604;0400;;1,11;;
220604;0500;;0,56;;
220604;0600;;0,65;;
220604;0700;;0,56;;
220604;0800;;;;,
220604;0900;;;;,
220604;1000;;0,48;;
220604;1100;;0,32;;
220604;1200;;0,33;;
220604;1300;;0,29;;
220604;1400;;0,3;;
220604;1500;;0,35;;
220604;1600;;0,5;;
220604;1700;;1,03;;
220604;1800;;1,09;;
220604;1900;;0,75;;
220604;2000;;1,02;;
220604;2100;;1,21;;
220604;2200;;2,3;;
220604;2300;;3,07;;
220605;0000;;3,36;;
220605;0100;;2,12;;
220605;0200;;1,46;;
220605;0300;;0,75;;
220605;0400;;1,55;;
220605;0500;;0,67;;
220605;0600;;0,4;;
220605;0700;;0,31;;
220605;0800;;0,3;;
220605;0900;;0,38;;
220605;1000;;0,51;;
220605;1100;;0,41;;
220605;1200;;0,46;;
220605;1300;;0,53;;
220605;1400;;0,51;;
220605;1500;;0,54;;
220605;1600;;0,92;;
220605;1700;;0,75;;
220605;1800;;0,7;;
220605;1900;;0,77;;
220605;2000;;0,93;;
220605;2100;;1,01;;
220605;2200;;1,43;;
220605;2300;;1,09;;
220606;0000;;0,95;;
220606;0100;;0,64;;
220606;0200;;0,41;;
220606;0300;;0,31;;
220606;0400;;0,38;;
220606;0500;;0,34;;
220606;0600;;0,35;;
220606;0700;;0,86;;
220606;0800;;0,67;;
220606;0900;;0,42;;
220606;1000;;0,39;;
220606;1100;;0,46;;
220606;1200;;0,4;;
220606;1300;;0,37;;
220606;1400;;0,4;;
220606;1500;;0,49;;
220606;1600;;0,8;;
220606;1700;;1,45;;
220606;1800;;2,37;;
220606;1900;;3,64;;
220606;2000;;4,2;;
220606;2100;;2,26;;
220606;2200;;2,2;;
220606;2300;;1,23;;
220607;0000;;1,48;;
220607;0100;;1,26;;
220607;0200;;1,54;;
220607;0300;;0,52;;
220607;0400;;0,49;;
220607;0500;;0,73;;
220607;0600;;0,42;;
220607;0700;;0,9;;
220607;0800;;1,73;;
220607;0900;;1,21;;
220607;1000;;0,52;;
220607;1100;;0,44;;
220607;1200;;0,6;;
220607;1300;;0,56;;
220607;1400;;0,41;;
220607;1500;;0,44;;
220607;1600;;0,68;;
220607;1700;;0,68;;
220607;1800;;0,89;;
220607;1900;;1,16;;
220607;2000;;0,75;;
220607;2100;;0,97;;
220607;2200;;0,92;;
220607;2300;;0,81;;
220608;0000;;1,24;;
220608;0100;;1,82;;
220608;0200;;1,09;;
220608;0300;;0,65;;
220608;0400;;0,28;;
220608;0500;;0,4;;
220608;0600;;0,52;;
220608;0700;;0,86;;
220608;0800;;1,24;;
220608;0900;;1,38;;
220608;1000;;1,33;;
220608;1100;;0,66;;
220608;1200;;0,57;;
220608;1300;;0,66;;
220608;1400;;0,74;;
220608;1500;;;;,
220608;1600;;1;;,
220608;1700;;1,99;;
220608;1800;;1,76;;
220608;1900;;2,45;;
220608;2000;;1,2;;
220608;2100;;1,02;;
220608;2200;;0,82;;
220608;2300;;2,34;;
220609;0000;;1,75;;
220609;0100;;1,21;;
220609;0200;;0,81;;
220609;0300;;0,49;;
220609;0400;;0,53;;
220609;0500;;0,37;;
220609;0600;;0,58;;
220609;0700;;1,07;;
220609;0800;;1,5;;
220609;0900;;0,77;;
220609;1000;;0,58;;
220609;1100;;0,49;;
220609;1200;;0,47;;
220609;1300;;0,47;;
220609;1400;;0,42;;
220609;1500;;0,44;;
220609;1600;;0,67;;
220609;1700;;1,59;;
220609;1800;;2,02;;
220609;1900;;1,54;;
220609;2000;;1,58;;
220609;2100;;1,89;;
220609;2200;;1,47;;
220609;2300;;1,27;;
220610;0000;;1,08;;
220610;0100;;0,91;;
220610;0200;;0,91;;
220610;0300;;0,47;;
220610;0400;;0,42;;
220610;0500;;0,34;;
220610;0600;;0,43;;
220610;0700;;0,43;;
220610;0800;;0,67;;
220610;0900;;0,7;;
220610;1000;;0,49;;
220610;1100;;0,33;;
220610;1200;;0,33;;
220610;1300;;0,37;;
220610;1400;;0,44;;
220610;1500;;0,41;;
220610;1600;;0,49;;
220610;1700;;0,89;;
220610;1800;;1,24;;
220610;1900;;1,01;;
220610;2000;;2,68;;
220610;2100;;3,72;;
220610;2200;;3,87;;
220610;2300;;4,6;;
220611;0000;;4,48;;
220611;0100;;3,07;;
220611;0200;;4,22;;
220611;0300;;6,01;;
220611;0400;;5,58;;
220611;0500;;3,45;;
220611;0600;;3,31;;
220611;0700;;3,12;;
220611;0800;;4,32;;
220611;0900;;3,07;;
220611;1000;;1,84;;
220611;1100;;2,68;;
220611;1200;;1,67;;
220611;1300;;1,46;;
220611;1400;;1,62;;
220611;1500;;1,78;;
220611;1600;;2,07;;
220611;1700;;4,63;;
220611;1800;;8,25;;
220611;1900;;7,79;;
220611;2000;;6,88;;
220611;2100;;9,85;;
220611;2200;;12,55;;
220611;2300;;9,44;;
220612;0000;;10,14;;
220612;0100;;7,71;;
220612;0200;;5,39;;
220612;0300;;4,45;;
220612;0400;;5,42;;
220612;0500;;1,74;;
220612;0600;;1,33;;
220612;0700;;1,52;;
220612;0800;;1,61;;
220612;0900;;2,1;;
220612;1000;;1,93;;
220612;1100;;1,35;;
220612;1200;;1,16;;
220612;1300;;2,9;;
220612;1400;;2,72;;
220612;1500;;2,34;;
220612;1600;;2,46;;
220612;1700;;2,57;;
220612;1800;;3,52;;
220612;1900;;3,37;;
220612;2000;;4,53;;
220612;2100;;4,68;;
220612;2200;;5,47;;
220612;2300;;6,11;;
220613;0000;;3,28;;
220613;0100;;2,07;;
220613;0200;;2,35;;
220613;0300;;2,34;;
220613;0400;;2,79;;
220613;0500;;1,93;;
220613;0600;;1,7;;
220613;0700;;2,65;;
220613;0800;;2,95;;
220613;0900;;1,24;;
220613;1000;;1,05;;
220613;1100;;1,56;;
220613;1200;;1,2;;
220613;1300;;0,54;;
220613;1400;;0,65;;
220613;1500;;0,9;;
220613;1600;;0,91;;
220613;1700;;1,57;;
220613;1800;;3,17;;
220613;1900;;3,63;;
220613;2000;;2,29;;
220613;2100;;2,61;;
220613;2200;;2,94;;
220613;2300;;2,35;;
220614;0000;;2,4;;
220614;0100;;3,34;;
220614;0200;;2,32;;
220614;0300;;2,47;;
220614;0400;;2,04;;
220614;0500;;2,11;;
220614;0600;;1,78;;
220614;0700;;1,69;;
220614;0800;;3,86;;
220614;0900;;3,65;;
220614;1000;;1,42;;
220614;1100;;0,88;;
220614;1200;;0,61;;
220614;1300;;0,42;;
220614;1400;;0,44;;
220614;1500;;;;,
220614;1600;;0,91;;
220614;1700;;1,6;;
220614;1800;;1,7;;
220614;1900;;3,74;;
220614;2000;;6,81;;
220614;2100;;7,04;;
220614;2200;;6,37;;
220614;2300;;4,5;;
220615;0000;;3,52;;
220615;0100;;2,65;;
220615;0200;;2,09;;
220615;0300;;1,42;;
220615;0400;;1,38;;
220615;0500;;1,68;;
220615;0600;;0,84;;
220615;0700;;1,83;;
220615;0800;;1,67;;
220615;0900;;1,09;;
220615;1000;;0,51;;
220615;1100;;0,33;;
220615;1200;;0,41;;
220615;1300;;0,42;;
220615;1400;;0,46;;
220615;1500;;0,46;;
220615;1600;;0,81;;
220615;1700;;0,88;;
220615;1800;;1,44;;
220615;1900;;1,71;;
220615;2000;;1,78;;
220615;2100;;1,7;;
220615;2200;;1,67;;
220615;2300;;1,61;;
220616;0000;;0,51;;
220616;0100;;0,48;;
220616;0200;;0,33;;
220616;0300;;0,36;;
220616;0400;;0,27;;
220616;0500;;0,19;;
220616;0600;;0,2;;
220616;0700;;0,25;;
220616;0800;;0,44;;
220616;0900;;0,5;;
220616;1000;;0,51;;
220616;1100;;0,44;;
220616;1200;;0,6;;
220616;1300;;0,76;;
220616;1400;;0,87;;
220616;1500;;0,59;;
220616;1600;;0,8;;
220616;1700;;1,05;;
220616;1800;;1,08;;
220616;1900;;0,72;;
220616;2000;;0,87;;
220616;2100;;0,74;;
220616;2200;;0,89;;
220616;2300;;0,61;;
220617;0000;;0,55;;
220617;0100;;0,51;;
220617;0200;;0,45;;
220617;0300;;0,42;;
220617;0400;;0,34;;
220617;0500;;0,21;;
220617;0600;;0,32;;
220617;0700;;0,49;;
220617;0800;;0,42;;
220617;0900;;0,37;;
220617;1000;;0,41;;
220617;1100;;0,42;;
220617;1200;;0,33;;
220617;1300;;0,41;;
220617;1400;;0,44;;
220617;1500;;0,44;;
220617;1600;;0,57;;
220617;1700;;0,51;;
220617;1800;;0,53;;
220617;1900;;0,56;;
220617;2000;;0,66;;
220617;2100;;0,65;;
220617;2200;;0,69;;
220617;2300;;0,53;;
220618;0000;;0,47;;
220618;0100;;0,45;;
220618;0200;;0,38;;
220618;0300;;0,48;;
220618;0400;;0,44;;
220618;0500;;0,29;;
220618;0600;;0,42;;
220618;0700;;0,24;;
220618;0800;;0,28;;
220618;0900;;0,36;;
220618;1000;;0,58;;
220618;1100;;0,31;;
220618;1200;;0,4;;
220618;1300;;0,4;;
220618;1400;;0,39;;
220618;1500;;0,44;;
220618;1600;;0,53;;
220618;1700;;1,29;;
220618;1800;;1,18;;
220618;1900;;1,1;;
220618;2000;;1,98;;
220618;2100;;3,53;;
220618;2200;;2,2;;
220618;2300;;0,94;;
220619;0000;;1,58;;
220619;0100;;1,82;;
220619;0200;;2,21;;
220619;0300;;1,44;;
220619;0400;;1,2;;
220619;0500;;0,76;;
220619;0600;;0,87;;
220619;0700;;0,93;;
220619;0800;;0,79;;
220619;0900;;0,44;;
220619;1000;;0,36;;
220619;1100;;0,4;;
220619;1200;;0,46;;
220619;1300;;0,51;;
220619;1400;;0,47;;
220619;1500;;0,52;;
220619;1600;;0,6;;
220619;1700;;0,99;;
220619;1800;;1,08;;
220619;1900;;0,7;;
220619;2000;;0,49;;
220619;2100;;0,52;;
220619;2200;;0,71;;
220619;2300;;1,08;;
220620;0000;;1,93;;
220620;0100;;0,72;;
220620;0200;;0,92;;
220620;0300;;0,76;;
220620;0400;;0,53;;
220620;0500;;0,92;;
220620;0600;;0,57;;
220620;0700;;0,73;;
220620;0800;;0,64;;
220620;0900;;0,52;;
220620;1000;;0,33;;
220620;1100;;0,32;;
220620;1200;;0,37;;
220620;1300;;0,45;;
220620;1400;;0,44;;
220620;1500;;0,43;;
220620;1600;;0,63;;
220620;1700;;1,19;;
220620;1800;;2,65;;
220620;1900;;4,71;;
220620;2000;;4,28;;
220620;2100;;5,59;;
220620;2200;;7,1;;
220620;2300;;6,28;;
220621;0000;;7,17;;
220621;0100;;8,15;;
220621;0200;;6,09;;
220621;0300;;4,94;;
220621;0400;;4,44;;
220621;0500;;4,11;;
220621;0600;;3,51;;
220621;0700;;3,45;;
220621;0800;;3,35;;
220621;0900;;4,01;;
220621;1000;;1,37;;
220621;1100;;0,77;;
220621;1200;;0,97;;
220621;1300;;0,65;;
220621;1400;;0,54;;
220621;1500;;0,6;;
220621;1600;;0,87;;
220621;1700;;2,46;;
220621;1800;;4,71;;
220621;1900;;4,17;;
220621;2000;;2,85;;
220621;2100;;5,29;;
220621;2200;;6,56;;
220621;2300;;5,37;;
220622;0000;;6,45;;
220622;0100;;5,18;;
220622;0200;;3,1;;
220622;0300;;4,58;;
220622;0400;;4,58;;
220622;0500;;3,6;;
220622;0600;;3,98;;
220622;0700;;5,65;;
220622;0800;;4,77;;
220622;0900;;2,99;;
220622;1000;;2,4;;
220622;1100;;1,19;;
220622;1200;;0,9;;
220622;1300;;0,77;;
220622;1400;;0,7;;
220622;1500;;0,74;;
220622;1600;;0,99;;
220622;1700;;2,55;;
220622;1800;;4,88;;
220622;1900;;4,65;;
220622;2000;;5,04;;
220622;2100;;5,78;;
220622;2200;;5,14;;
220622;2300;;6,72;;
220623;0000;;8,37;;
220623;0100;;6,58;;
220623;0200;;5,07;;
220623;0300;;4,84;;
220623;0400;;2,26;;
220623;0500;;2,22;;
220623;0600;;3,49;;
220623;0700;;4,99;;
220623;0800;;3,85;;
220623;0900;;;;,
220623;1000;;;;,
220623;1100;;1,27;;
220623;1200;;0,81;;
220623;1300;;;;,
220623;1400;;;;,
220623;1500;;0,65;;
220623;1600;;1,07;;
220623;1700;;2,47;;
220623;1800;;3,6;;
220623;1900;;4,91;;
220623;2000;;4,09;;
220623;2100;;6,44;;
220623;2200;;6,98;;
220623;2300;;6,58;;
220624;0000;;10,35;;
220624;0100;;5,75;;
220624;0200;;6,31;;
220624;0300;;6,91;;
220624;0400;;5,44;;
220624;0500;;5,82;;
220624;0600;;6;;,
220624;0700;;4,51;;
220624;0800;;5,13;;
220624;0900;;2,57;;
220624;1000;;3,3;;
220624;1100;;1,42;;
220624;1200;;0,97;;
220624;1300;;0,88;;
220624;1400;;;;,
220624;1500;;0,77;;
220624;1600;;1,26;;
220624;1700;;2,11;;
220624;1800;;5,64;;
220624;1900;;6,81;;
220624;2000;;6,58;;
220624;2100;;5,08;;
220624;2200;;7,44;;
220624;2300;;3,1;;
220625;0000;;2,58;;
220625;0100;;3,93;;
220625;0200;;4,87;;
220625;0300;;7,12;;
220625;0400;;4,03;;
220625;0500;;4,16;;
220625;0600;;2,8;;
220625;0700;;2,97;;
220625;0800;;3,53;;
220625;0900;;1,88;;
220625;1000;;1,67;;
220625;1100;;1,38;;
220625;1200;;0,9;;
220625;1300;;0,75;;
220625;1400;;0,88;;
220625;1500;;0,89;;
220625;1600;;1,24;;
220625;1700;;2,99;;
220625;1800;;4,43;;
220625;1900;;6,24;;
220625;2000;;7,41;;
220625;2100;;8,51;;
220625;2200;;6,13;;
220625;2300;;4,17;;
220626;0000;;2,68;;
220626;0100;;5,43;;
220626;0200;;4,01;;
220626;0300;;3,44;;
220626;0400;;2,23;;
220626;0500;;4,26;;
220626;0600;;2;;,
220626;0700;;0,81;;
220626;0800;;0,52;;
220626;0900;;0,35;;
220626;1000;;0,34;;
220626;1100;;0,46;;
220626;1200;;0,41;;
220626;1300;;0,5;;
220626;1400;;0,53;;
220626;1500;;0,54;;
220626;1600;;0,69;;
220626;1700;;0,76;;
220626;1800;;0,55;;
220626;1900;;0,66;;
220626;2000;;1,26;;
220626;2100;;0,95;;
220626;2200;;0,71;;
220626;2300;;0,62;;
220627;0000;;0,55;;
220627;0100;;0,58;;
220627;0200;;0,48;;
220627;0300;;0,43;;
220627;0400;;0,32;;
220627;0500;;0,38;;
220627;0600;;0,55;;
220627;0700;;0,43;;
220627;0800;;0,39;;
220627;0900;;0,47;;
220627;1000;;0,48;;
220627;1100;;0,48;;
220627;1200;;0,67;;
220627;1300;;0,67;;
220627;1400;;0,71;;
220627;1500;;0,91;;
220627;1600;;1,14;;
220627;1700;;1,67;;
220627;1800;;1,29;;
220627;1900;;1,48;;
220627;2000;;1,85;;
220627;2100;;2,93;;
220627;2200;;4,08;;
220627;2300;;2,66;;
220628;0000;;2,51;;
220628;0100;;1,76;;
220628;0200;;1,2;;
220628;0300;;0,94;;
220628;0400;;0,79;;
220628;0500;;0,65;;
220628;0600;;0,66;;
220628;0700;;0,85;;
220628;0800;;1,9;;
220628;0900;;1,8;;
220628;1000;;1,66;;
220628;1100;;1,86;;
220628;1200;;0,62;;
220628;1300;;0,63;;
220628;1400;;1,26;;
220628;1500;;1,31;;
220628;1600;;1,58;;
220628;1700;;1,3;;
220628;1800;;1,04;;
220628;1900;;1,08;;
220628;2000;;0,62;;
220628;2100;;1,11;;
220628;2200;;1,75;;
220628;2300;;1,14;;
220629;0000;;0,88;;
220629;0100;;0,65;;
220629;0200;;0,45;;
220629;0300;;0,64;;
220629;0400;;0,35;;
220629;0500;;0,4;;
220629;0600;;0,51;;
220629;0700;;1,26;;
220629;0800;;1,15;;
220629;0900;;1,22;;
220629;1000;;0,45;;
220629;1100;;0,47;;
220629;1200;;0,62;;
220629;1300;;0,59;;
220629;1400;;0,47;;
220629;1500;;0,69;;
220629;1600;;1,24;;
220629;1700;;1,55;;
220629;1800;;1,41;;
220629;1900;;2,63;;
220629;2000;;1,2;;
220629;2100;;1,36;;
220629;2200;;1,68;;
220629;2300;;1,06;;
220630;0000;;0,85;;
220630;0100;;0,61;;
220630;0200;;0,83;;
220630;0300;;0,51;;
220630;0400;;0,65;;
220630;0500;;0,62;;
220630;0600;;0,77;;
220630;0700;;0,88;;
220630;0800;;1,34;;
220630;0900;;;1,04;
220630;1000;;;1,33;
220630;1100;;;1,31;
220630;1200;;;0,64;
220630;1300;;;0,73;
220630;1400;;;1,12;
220630;1500;;;0,89;
220630;1600;;;1,06;
220630;1700;;;2,72;
220630;1800;;;1,95;
220630;1900;;;0,95;
220630;2000;;;1,44;
220630;2100;;;1,48;
220630;2200;;;1,59;
220630;2300;;;2,08;
